service_id,visit_id,car_id,tanggal,km_saat_servis,cabang,mekanik,kategori_servis,item_servis,qty,harga
SVC003226,V000830,CAR0077,2022-02-18,58266,Cabang Gatot Subroto,Mekanik Dani,Oli & Filter,Ganti Oli Mesin,1,330000
SVC003228,V000830,CAR0077,2022-02-18,58266,Cabang Gatot Subroto,Mekanik Dani,Tune Up,Busi (set),1,437000
SVC003227,V000830,CAR0077,2022-02-18,58266,Cabang Gatot Subroto,Mekanik Dani,Oli & Filter,Filter Udara,1,255000
SVC007497,V001935,CAR0169,2022-02-26,16354,Cabang Ringroad,Mekanik Tigor,Oli & Filter,Ganti Oli Mesin,1,650000
SVC007498,V001935,CAR0169,2022-02-26,16354,Cabang Ringroad,Mekanik Tigor,Oli & Filter,Filter Oli,1,106000
SVC007499,V001935,CAR0169,2022-02-26,16354,Cabang Ringroad,Mekanik Tigor,Oli & Filter,Filter Udara,1,259000
SVC029022,V008354,CAR0609,2022-03-03,81011,Cabang Sisingamangaraja,Mekanik Sahat,Rem & Kaki,Spooring & Balancing,1,274000
SVC028464,V007883,CAR0017,2022-03-03,80503,Cabang Setia Budi,Mekanik Joni,Pendingin,Servis AC,1,373000
SVC029023,V008354,CAR0609,2022-03-03,81011,Cabang Sisingamangaraja,Mekanik Sahat,Rem & Kaki,Ban (per pcs),2,818000
SVC028400,V007827,CAR0407,2022-03-05,163007,Cabang Krakatau,Mekanik Anto,Tune Up,Busi (set),1,246000
SVC028831,V008192,CAR0175,2022-03-07,125035,Cabang Krakatau,Mekanik Tigor,Pendingin,Coolant/Radiator,1,196000
SVC027636,V007184,CAR0041,2022-03-07,83092,Cabang Ringroad,Mekanik Dani,Rem & Kaki,Ban (per pcs),4,904000
SVC026935,V006936,CAR0607,2022-03-08,57767,Cabang Gatot Subroto,Mekanik Hasan,Oli & Filter,Ganti Oli Mesin,1,780000
SVC026936,V006936,CAR0607,2022-03-08,57767,Cabang Gatot Subroto,Mekanik Hasan,Oli & Filter,Filter Oli,1,78000
SVC026937,V006936,CAR0607,2022-03-08,57767,Cabang Gatot Subroto,Mekanik Hasan,Oli & Filter,Filter Udara,1,155000
SVC028836,V008197,CAR0292,2022-03-08,21796,Cabang Gatot Subroto,Mekanik Anto,Pendingin,Servis AC,1,256000
SVC026939,V006936,CAR0607,2022-03-08,57767,Cabang Gatot Subroto,Mekanik Hasan,Pendingin,Coolant/Radiator,1,189000
SVC028291,V007735,CAR0020,2022-03-08,56992,Cabang Krakatau,Mekanik Rudi,Pendingin,Servis AC,1,430000
SVC028292,V007735,CAR0020,2022-03-08,56992,Cabang Krakatau,Mekanik Rudi,Oli & Filter,Filter Kabin/AC,1,161000
SVC026938,V006936,CAR0607,2022-03-08,57767,Cabang Gatot Subroto,Mekanik Hasan,Oli & Filter,Filter Kabin/AC,1,135000
SVC028837,V008197,CAR0292,2022-03-08,21796,Cabang Gatot Subroto,Mekanik Anto,Oli & Filter,Filter Kabin/AC,1,153000
SVC027830,V007342,CAR0077,2022-03-10,91664,Cabang Sisingamangaraja,Mekanik Anto,Kelistrikan,Aki/Accu,1,1116000
SVC028220,V007677,CAR0366,2022-03-10,46864,Cabang Sisingamangaraja,Mekanik Beni,Rem & Kaki,Spooring & Balancing,1,333000
SVC027924,V007425,CAR0080,2022-03-10,82366,Cabang Krakatau,Mekanik Dani,Rem & Kaki,Spooring & Balancing,1,345000
SVC027925,V007425,CAR0080,2022-03-10,82366,Cabang Krakatau,Mekanik Dani,Rem & Kaki,Ban (per pcs),2,1327000
SVC028688,V008072,CAR0374,2022-03-11,120974,Cabang Ringroad,Mekanik Tigor,Oli & Filter,Filter Kabin/AC,1,125000
SVC028272,V007718,CAR0575,2022-03-11,151683,Cabang Ringroad,Mekanik Anto,Pendingin,Servis AC,1,525000
SVC028687,V008072,CAR0374,2022-03-11,120974,Cabang Ringroad,Mekanik Tigor,Pendingin,Servis AC,1,376000
SVC028235,V007688,CAR0283,2022-03-12,21289,Cabang Setia Budi,Mekanik Tigor,Tune Up,Busi (set),1,222000
SVC014760,V003799,CAR0342,2022-03-14,41185,Cabang Gatot Subroto,Mekanik Beni,Oli & Filter,Ganti Oli Mesin,1,450000
SVC014761,V003799,CAR0342,2022-03-14,41185,Cabang Gatot Subroto,Mekanik Beni,Oli & Filter,Filter Oli,1,102000
SVC014762,V003799,CAR0342,2022-03-14,41185,Cabang Gatot Subroto,Mekanik Beni,Tune Up,Tune Up / Servis Berkala,1,678000
SVC028719,V008102,CAR0553,2022-03-16,35351,Cabang Setia Budi,Mekanik Beni,Tune Up,Busi (set),1,206000
SVC027763,V007288,CAR0547,2022-03-17,40199,Cabang Krakatau,Mekanik Sahat,Rem & Kaki,Ban (per pcs),4,789000
SVC027988,V007478,CAR0393,2022-03-17,126521,Cabang Ringroad,Mekanik Sahat,Rem & Kaki,Ban (per pcs),4,989000
SVC027821,V007334,CAR0316,2022-03-18,168569,Cabang Krakatau,Mekanik Hasan,Pendingin,Coolant/Radiator,1,253000
SVC027529,V007095,CAR0166,2022-03-18,156265,Cabang Sisingamangaraja,Mekanik Joni,Tune Up,Busi (set),1,355000
SVC005264,V001352,CAR0125,2022-03-18,43885,Cabang Sisingamangaraja,Mekanik Rudi,Oli & Filter,Filter Kabin/AC,1,142000
SVC005263,V001352,CAR0125,2022-03-18,43885,Cabang Sisingamangaraja,Mekanik Rudi,Oli & Filter,Filter Udara,1,121000
SVC005262,V001352,CAR0125,2022-03-18,43885,Cabang Sisingamangaraja,Mekanik Rudi,Oli & Filter,Ganti Oli Mesin,1,560000
SVC005265,V001352,CAR0125,2022-03-18,43885,Cabang Sisingamangaraja,Mekanik Rudi,Tune Up,Busi (set),1,222000
SVC028975,V008312,CAR0286,2022-03-20,133362,Cabang Krakatau,Mekanik Sahat,Oli & Filter,Filter Kabin/AC,1,133000
SVC028974,V008312,CAR0286,2022-03-20,133362,Cabang Krakatau,Mekanik Sahat,Pendingin,Servis AC,1,294000
SVC028331,V007770,CAR0013,2022-03-21,27006,Cabang Krakatau,Mekanik Tigor,Kelistrikan,Aki/Accu,1,1712000
SVC028868,V008223,CAR0211,2022-03-23,150606,Cabang Ringroad,Mekanik Rudi,Tune Up,Busi (set),1,300000
SVC028542,V007948,CAR0474,2022-03-23,54052,Cabang Krakatau,Mekanik Beni,Rem & Kaki,Ban (per pcs),4,872000
SVC027955,V007451,CAR0462,2022-03-25,72897,Cabang Sisingamangaraja,Mekanik Beni,Rem & Kaki,Kampas Rem Belakang,1,496000
SVC027954,V007451,CAR0462,2022-03-25,72897,Cabang Sisingamangaraja,Mekanik Beni,Rem & Kaki,Kampas Rem Depan,1,514000
SVC019253,V004961,CAR0436,2022-03-26,19445,Cabang Krakatau,Mekanik Hasan,Oli & Filter,Ganti Oli Mesin,1,450000
SVC019254,V004961,CAR0436,2022-03-26,19445,Cabang Krakatau,Mekanik Hasan,Oli & Filter,Filter Oli,1,112000
SVC019255,V004961,CAR0436,2022-03-26,19445,Cabang Krakatau,Mekanik Hasan,Oli & Filter,Filter Udara,1,167000
SVC019257,V004961,CAR0436,2022-03-26,19445,Cabang Krakatau,Mekanik Hasan,Tune Up,Tune Up / Servis Berkala,1,668000
SVC019258,V004961,CAR0436,2022-03-26,19445,Cabang Krakatau,Mekanik Hasan,Pendingin,Coolant/Radiator,1,238000
SVC028498,V007913,CAR0346,2022-03-26,77513,Cabang Gatot Subroto,Mekanik Beni,Rem & Kaki,Ban (per pcs),4,1006000
SVC019256,V004961,CAR0436,2022-03-26,19445,Cabang Krakatau,Mekanik Hasan,Tune Up,Busi (set),1,343000
SVC027878,V007383,CAR0298,2022-03-26,167678,Cabang Gatot Subroto,Mekanik Anto,Pendingin,Coolant/Radiator,1,124000
SVC028320,V007761,CAR0226,2022-03-27,36656,Cabang Setia Budi,Mekanik Tigor,Rem & Kaki,Spooring & Balancing,1,271000
SVC028321,V007761,CAR0226,2022-03-27,36656,Cabang Setia Budi,Mekanik Tigor,Rem & Kaki,Ban (per pcs),2,871000
SVC028917,V008266,CAR0395,2022-03-28,146241,Cabang Krakatau,Mekanik Joni,Tune Up,Busi (set),1,354000
SVC020792,V005357,CAR0470,2022-03-29,33814,Cabang Gatot Subroto,Mekanik Hasan,Oli & Filter,Filter Oli,1,77000
SVC020794,V005357,CAR0470,2022-03-29,33814,Cabang Gatot Subroto,Mekanik Hasan,Oli & Filter,Filter Kabin/AC,1,107000
SVC028898,V008248,CAR0430,2022-03-29,161735,Cabang Gatot Subroto,Mekanik Sahat,Rem & Kaki,Kampas Rem Belakang,1,547000
SVC003230,V000831,CAR0077,2022-03-29,61786,Cabang Gatot Subroto,Mekanik Joni,Oli & Filter,Filter Oli,1,66000
SVC003229,V000831,CAR0077,2022-03-29,61786,Cabang Gatot Subroto,Mekanik Joni,Oli & Filter,Ganti Oli Mesin,1,330000
SVC027725,V007256,CAR0476,2022-03-29,56048,Cabang Sisingamangaraja,Mekanik Dani,Rem & Kaki,Spooring & Balancing,1,309000
SVC028322,V007762,CAR0156,2022-03-29,90796,Cabang Gatot Subroto,Mekanik Beni,Tune Up,Busi (set),1,408000
SVC028897,V008248,CAR0430,2022-03-29,161735,Cabang Gatot Subroto,Mekanik Sahat,Rem & Kaki,Kampas Rem Depan,1,696000
SVC020793,V005357,CAR0470,2022-03-29,33814,Cabang Gatot Subroto,Mekanik Hasan,Oli & Filter,Filter Udara,1,147000
SVC020791,V005357,CAR0470,2022-03-29,33814,Cabang Gatot Subroto,Mekanik Hasan,Oli & Filter,Ganti Oli Mesin,1,640000
SVC028568,V007970,CAR0106,2022-03-30,29327,Cabang Gatot Subroto,Mekanik Sahat,Rem & Kaki,Ban (per pcs),4,1346000
SVC028570,V007972,CAR0026,2022-03-30,88154,Cabang Sisingamangaraja,Mekanik Rudi,Pendingin,Coolant/Radiator,1,221000
SVC028173,V007639,CAR0552,2022-03-31,109856,Cabang Sisingamangaraja,Mekanik Beni,Tune Up,Busi (set),1,272000
SVC027967,V007460,CAR0034,2022-04-01,134914,Cabang Gatot Subroto,Mekanik Anto,Rem & Kaki,Ban (per pcs),4,776000
SVC027927,V007427,CAR0420,2022-04-01,108562,Cabang Sisingamangaraja,Mekanik Anto,Pendingin,Coolant/Radiator,1,248000
SVC020397,V005258,CAR0460,2022-04-03,49136,Cabang Krakatau,Mekanik Dani,Oli & Filter,Ganti Oli Mesin,1,650000
SVC020398,V005258,CAR0460,2022-04-03,49136,Cabang Krakatau,Mekanik Dani,Oli & Filter,Filter Udara,1,125000
SVC020399,V005258,CAR0460,2022-04-03,49136,Cabang Krakatau,Mekanik Dani,Lainnya,Wiper,1,135000
SVC025412,V006554,CAR0568,2022-04-04,27028,Cabang Gatot Subroto,Mekanik Tigor,Oli & Filter,Ganti Oli Mesin,1,560000
SVC025413,V006554,CAR0568,2022-04-04,27028,Cabang Gatot Subroto,Mekanik Tigor,Oli & Filter,Filter Oli,1,113000
SVC028341,V007780,CAR0274,2022-04-04,104021,Cabang Krakatau,Mekanik Hasan,Tune Up,Busi (set),1,449000
SVC025415,V006554,CAR0568,2022-04-04,27028,Cabang Gatot Subroto,Mekanik Tigor,Oli & Filter,Filter Kabin/AC,1,175000
SVC025414,V006554,CAR0568,2022-04-04,27028,Cabang Gatot Subroto,Mekanik Tigor,Oli & Filter,Filter Udara,1,200000
SVC000001,V000001,CAR0001,2022-04-04,12064,Cabang Krakatau,Mekanik Rudi,Oli & Filter,Ganti Oli Mesin,1,640000
SVC000004,V000001,CAR0001,2022-04-04,12064,Cabang Krakatau,Mekanik Rudi,Tune Up,Busi (set),1,406000
